,H,N,SimpleE,SimpleC,delta
116,1.0,2.0519568930718464,1.0,14,2
117,0.6335733092028626,4.080351561878953,0.05327655105150778,12,2
118,2.0,0.5513906261937764,1.6356590100073332,21,2
119,1.0,1.1868251648529342,1.9736683176627192,26,4
120,0.0,3.529601009104092,1.7672908950163433,40,6
121,1.0,2.3197671579774273,0.0,17,2
122,1.0,2.924504182410436,1.9766140297420012,22,4
123,0.0,3.4597039821739086,2.889369560644499,27,4
124,4.0,4.9433902874654345,2.3711340361174535,36,6
125,1.437353985939029,3.6017973070729044,1.233687643058217,32,4
126,0.0,1.6214793748326306,1.8375390394769515,15,2
127,2.0,4.125058147068147,0.0530484876753128,25,4
128,1.0,0.0,1.0947015240275257,37,6
129,1.0,5.0,0.022065581548103397,27,4
130,2.0,1.0,0.2677911803007682,36,6
131,0.0,2.9114982016344966,0.7424806999568906,24,4
132,1.226650587093939,2.2006686603672208,4.5886518869966535,37,6
133,2.0,2.3774937464151336,1.1141869397726485,25,4
134,0.0,1.4352577051090352,0.0,31,4
135,4.28778513247175,0.7009269894501902,3.1697821819089227,40,6
136,1.0,2.3449298369566085,0.012495782214010393,27,4
137,0.0,1.0580952193451196,3.0412344364696273,35,6
138,4.0,1.771827974955532,2.1866503222931706,36,6
139,0.0,3.0186966715902175,0.6632592823209446,34,6
140,1.818172472478805,0.8546229540957571,2.067039887228833,48,6
141,1.0,3.059723604222234,4.385830979041702,40,6
142,1.0,2.05904811628874,1.939543741837365,34,6
143,0.0,0.0,3.5638119598014675,39,6
144,1.6815633877341387,2.547806487435432,0.0,36,6
145,0.0,0.36675776948339944,1.3250786938452703,41,6
146,1.3124444695135642,2.320208243232707,0.8650731869719008,36,6
147,0.0,5.0,0.0,15,2
148,0.0,2.5060304707946615,0.3003735277265248,12,2
149,1.228738635788078,5.0,1.222826086683071,41,6
150,3.672713715870839,3.522572733898066,2.328068803973785,37,6
151,3.0,5.0,0.09392196881569015,17,2
152,0.16894816137658708,2.657031756599875,1.989063108038838,18,2
153,0.0,4.532334217616108,1.7013375097987176,15,2
154,0.0,1.1402732953252546,3.389535161679168,16,2
155,1.0,0.9506960534058422,0.0,18,2
156,2.2164926605548843,3.1433462634710736,2.5475768039412383,14,2
157,0.0,3.2508384506388897,1.995994006157113,17,2
158,0.0,1.0,2.528476488733035,18,2
159,1.075380309429078,2.3222547596539442,1.2627042016158907,34,4
160,1.0,0.0,1.6985324207529287,20,2
161,0.0,1.3567791453788214,0.5914103508547295,41,6
162,1.0,2.770138979919871,2.873243609369621,16,2
163,1.0,5.0,0.0,14,2
164,2.8598035128624115,1.0,0.2017651606795058,27,4
165,1.0,5.0,0.25245189839239024,16,2
166,2.765176285561786,2.8127163890678153,0.23468305217737373,18,2
167,1.0,3.2351802509049588,0.7164728338751938,22,4
168,0.0,1.3147439454244099,0.0,18,2
169,1.0973459352473736,0.6722602376622122,0.46570309954779743,33,6
170,0.0,3.3751463671893855,1.626952918508786,28,4
